zipcode,sex,age,street_name,unit,marital_status,education_level,bachelors_field,ethnic_background,occupation,last_name,first_name,middle_name,street_number,city,state,country,county,uuid
95403,Male,62,Franklin Pkwy,,divorced,bachelors,stem,white,police_officer,Derizans,Travis,Francis,164,Santa Rosa,CA,USA,Sonoma County,87c0b3a0-aeea-4b93-bf1c-f9ec957f7f68
52732,Male,36,14th St,9,married_present,high_school,no_degree,spaniard,police_officer,Puentes,Raul,Michael,29,Clinton,IA,USA,Clinton County,2455aa43-83ce-48ea-be72-00d2f7366cd2
33143,Male,36,Wild Lupine Ct,,married_present,graduate,arts_humanities,puerto rican,police_officer,Martin,Walter,,474,Miami,FL,USA,Miami-Dade County,7d93bad0-b65b-4a3d-a33d-0f60b9051019
82007,Male,20,E Florida Ave,,never_married,high_school,no_degree,white,police_officer,Lissau,Jacob,Farber,28,Cheyenne,WY,USA,Laramie County,f45cd590-335e-4e97-a1b1-f0bfa76079ba
34207,Male,64,Calle Del Paz S,,married_present,high_school,no_degree,white,police_officer,Scronce,Steven,Wesley,434,Bradenton,FL,USA,Manatee County,2cafb5e2-bd11-4ef0-8908-a90d4335db11
62966,Male,38,Barnhill Dr,,divorced,some_college,no_degree,white,police_officer,Hammond,Charles,D,135,Murphysboro,IL,USA,Jackson County,1c0bc7fe-999d-4978-a9bc-cc8539e58845
33705,Male,33,S Congress Ave,3103,divorced,bachelors,stem,white,police_officer,Corona,Duncan,Henry,44,Saint Petersburg,FL,USA,Pinellas County,8e22c6ad-d37c-413e-8a2b-a4727c9b7ea2
78703,Male,41,North 150th Lane,,never_married,graduate,arts_humanities,mexican,police_officer,Ramirez,Cruz,Luis,210,Austin,TX,USA,Travis County,7d7e099c-eda5-4cdf-8e28-a56ce9736296
30067,Male,35,Parkway Cove,,married_present,bachelors,business,white,police_officer,Schubring,Paul,Albert,103,Marietta,GA,USA,Cobb County,238705fa-58aa-4e46-bef9-0203ab399a0f
37221,Male,25,Maysville Rd,,never_married,high_school,no_degree,white,police_officer,Hallum,David,Anthony,162,Nashville,TN,USA,Williamson County,1becdba5-e15c-4315-a628-7828bebdba3f
27916,Male,24,County Rd 267,,never_married,some_college,no_degree,black,police_officer,Edwards,Jarrid,D,130,Aydlett,NC,USA,Currituck County,90706a3f-6387-4947-8c97-2d88d092f1f5
34286,Male,46,NW 45th Ter,,married_present,associates,no_degree,white,police_officer,Albrecht,Edward,Jamesdavid,120,North Port,FL,USA,Sarasota County,def43a5c-3322-4d9c-adb9-4ce5ef5f7392
48879,Male,58,North Delaware St,,divorced,bachelors,education,white,police_officer,Migliore,Ryan,Joseph,106,Saint Johns,MI,USA,Gratiot County,a9051ec5-4b80-4a38-a38e-485291269d9e
76667,Female,27,Windmill Cove,,never_married,high_school,no_degree,white,police_officer,Gill,Sandra,S,230,Mexia,TX,USA,Freestone County,e337734c-c196-4945-a540-e67e5f95e5c1
77840,Male,22,Glenoak Dr,,never_married,some_college,no_degree,mexican,police_officer,Rico,Gilberto,,448,College Station,TX,USA,Brazos County,86edbe4b-b6d5-4bdc-b619-65a4443bdde6
