zipcode,sex,age,street_name,unit,marital_status,education_level,bachelors_field,ethnic_background,occupation,last_name,first_name,middle_name,street_number,city,state,country,county,uuid
92503,Female,69,S Dawson Dr,159,widowed,9th_12th_no_diploma,no_degree,white,police_officer,Bierer,Holly,Marie,68,Riverside,CA,USA,Riverside County,2c2e6e70-6073-449f-9bdc-6e6214379475
53215,Female,29,S Clement Av,,married_present,associates,no_degree,mexican,police_officer,Espinosa,Lucia,Carolina,148,Milwaukee,WI,USA,Milwaukee County,fc484eb2-62c6-436c-a28c-22d818f448c6
47265,Male,61,W Vine St,,married_present,some_college,no_degree,white,police_officer,Mathis,Daniel,Olen,601,North Vernon,IN,USA,Jennings County,4232d5e6-3d52-4f63-868a-29df63db94db
45211,Male,31,Leander,,never_married,bachelors,arts_humanities,black,police_officer,Wright,Romaine,Lamar,44,Cincinnati,OH,USA,Hamilton County,814a4c31-c3c4-4564-809e-e27bec0a37e7
2072,Male,67,Lost District Dr,,married_present,graduate,arts_humanities,white,police_officer,Leigh,Cameron,Cox,180,Stoughton,MA,USA,Norfolk County,1ced5335-caa2-45e1-b40b-77ee258d582a
70785,Male,60,Teton St,,divorced,high_school,no_degree,white,police_officer,Lebrun,Charles,Douglas,145,Walker,LA,USA,Livingston Parish,cd362e9d-855b-4fea-a9c0-bd8e2dfd03f2
10016,Female,32,Pulaski Road,,married_present,graduate,stem_related,east asian,police_officer,Yu,Sun,Tan,163,New York,NY,USA,New York County,ef4b2129-64e4-4f65-a8b3-d8199661bb22
98409,Male,24,N 90th St,,never_married,high_school,no_degree,white,police_officer,Hencken,Bradley,Hauser,235,Tacoma,WA,USA,Pierce County,6bb3d5c8-3c3c-4cea-9173-19c508e833b9
76542,Male,63,Suzanne Ave,,married_present,bachelors,arts_humanities,white,police_officer,Bryant,Eugene,,16,Killeen,TX,USA,Bell County,c74f10be-0bb2-4486-aadd-4b9e1d562285
92346,Male,54,Camino Playa Malaga,,married_present,associates,no_degree,white,police_officer,Beddingfield,Nicholas,Joseph,135,Highland,CA,USA,San Bernardino County,5a724678-aefb-4a34-98f0-ef5b56e2c9b2
85015,Female,27,East Mckellips Road,,married_present,high_school,no_degree,white,police_officer,Rhodes,April,Ann,406,Phoenix,AZ,USA,Maricopa County,85513b29-d489-4456-a36a-a197d8f7d44b
60622,Male,26,Norwood Dr,,never_married,bachelors,arts_humanities,black,police_officer,Senegal,Dangelo,Mcmurray,357,Chicago,IL,USA,Cook County,53452d76-11fd-42fc-8397-ffacae41003d
49534,Male,41,Evergreen Cir,,married_present,bachelors,education,white,police_officer,Miles,Christopher,D,122,Grand Rapids,MI,USA,Ottawa County,01d7edc3-06bb-404f-9b90-18b5ef609237
29646,Female,33,Lawson Mill Rd,,married_present,bachelors,arts_humanities,southeast asian,police_officer,Huynh,Blair,Renee,403,Greenwood,SC,USA,Greenwood County,f124f017-a275-4ee8-8cae-468fd81d4522
20877,Female,30,Neoga Street,,divorced,high_school,no_degree,south asian,police_officer,Badar,Pritikabahen,,49,Gaithersburg,MD,USA,Montgomery County,810dce2d-2f16-42fb-a410-31ac5f71fd1d
29841,Male,51,Heritage Way,,never_married,associates,no_degree,white,police_officer,Thomas,Justin,G,385,North Augusta,SC,USA,Edgefield County,64533a25-8061-4d38-81f4-11305f712c18
33823,Male,61,Scott St,,married_present,bachelors,education,white,police_officer,Kirn,Hardy,Jason,111,Auburndale,FL,USA,Polk County,bd6bc916-4923-4f06-bc6e-a52c817a7826
7440,Male,46,Crescent Avenue,,married_present,some_college,no_degree,white,police_officer,Malcolm,William,Lee,39,Pequannock,NJ,USA,Morris County,62ece447-66d3-4495-959b-91d80251b9bb
11209,Female,66,E Lorraine Ave,,married_present,bachelors,arts_humanities,mexican,police_officer,Benhaim,Diana,Marie,113,Brooklyn,NY,USA,Kings County,d5e42ae5-ae92-4c1e-9d2d-3ea0398dec07
10560,Male,58,Padasana Court,,married_present,associates,no_degree,white,police_officer,Feldkamp,David,Keith,250,North Salem,NY,USA,Westchester County,1b972635-f126-4a62-b2ed-39db03aa35cd
32606,Male,27,Cypress Wood Ct,,never_married,high_school,no_degree,puerto rican,police_officer,Geniti,Joseph,Antonio,528,Gainesville,FL,USA,Alachua County,2a8cfc80-d6db-42be-a5b6-ef20b9ce45f2
60548,Male,36,County Road 605,,married_present,some_college,no_degree,southeast asian,police_officer,Hang,Minh,Phuoc,108,Sandwich,IL,USA,LaSalle County,2cadd3c6-3220-4e97-9e65-7bc08eab3c45
49021,Female,55,18th Street,,married_present,bachelors,education,white,police_officer,Kaplan,Brooke,S,120,Bellevue,MI,USA,Calhoun County,9562cedf-7826-4f0a-95de-32719f3ff3f0
18702,Male,44,Oakmont Lane,,never_married,some_college,no_degree,white,police_officer,Snyder,James,B,64,Wilkes Barre,PA,USA,Luzerne County,94ad0fbd-c4d9-4478-b28a-853176311571
60441,Male,41,Chads,,married_present,some_college,no_degree,white,police_officer,Connelly,Timothy,Link,55,Lockport,IL,USA,Will County,f6f1245c-73e6-4e73-85c3-cefc1a216ce4
74875,Male,47,155th Street,,married_present,9th_12th_no_diploma,no_degree,white,police_officer,Seale,Johnny,Robert,5,Tryon,OK,USA,Lincoln County,f97776ce-81b0-4774-a066-cd4f59f922cd
